Quantity,Value,Unit,Uncertainty
{220} Lattice Spacing Of Silicon                           ,192.015 5714 e-12, m,0.000 0032 e-12         
Alpha Particle-electron Mass Ratio                         ,7294.299 541 36, ,0.000 000 24            
Alpha Particle Mass                                        ,6.644 657 230 e-27, kg,0.000 000 082 e-27      
Alpha Particle Mass Energy Equivalent                      ,5.971 920 097 e-10, J,0.000 000 073 e-10      
Alpha Particle Mass Energy Equivalent In Mev               ,3727.379 378, MeV,0.000 023               
Alpha Particle Mass In U                                   ,4.001 506 179 127, u,0.000 000 000 063       
Alpha Particle Molar Mass                                  ,4.001 506 179 127 e-3, kg mol^-1,0.000 000 000 063 e-3   
Alpha Particle-proton Mass Ratio                           ,3.972 599 689 07, ,0.000 000 000 36        
Angstrom Star                                              ,1.000 014 95 e-10, m,0.000 000 90 e-10       
Atomic Mass Constant                                       ,1.660 539 040 e-27, kg,0.000 000 020 e-27      
Atomic Mass Constant Energy Equivalent                     ,1.492 418 062 e-10, J,0.000 000 018 e-10      
Atomic Mass Constant Energy Equivalent In Mev              ,931.494 0954, MeV,0.000 0057              
Atomic Mass Unit-electron Volt Relationship                ,931.494 0954 e6, eV,0.000 0057 e6           
Atomic Mass Unit-hartree Relationship                      ,3.423 177 6902 e7, E_h,0.000 000 0016 e7       
Atomic Mass Unit-hertz Relationship                        ,2.252 342 7206 e23, Hz,0.000 000 0010 e23      
Atomic Mass Unit-inverse Meter Relationship                ,7.513 006 6166 e14, m^-1,0.000 000 0034 e14      
Atomic Mass Unit-joule Relationship                        ,1.492 418 062 e-10, J,0.000 000 018 e-10      
Atomic Mass Unit-kelvin Relationship                       ,1.080 954 38 e13, K,0.000 000 62 e13        
Atomic Mass Unit-kilogram Relationship                     ,1.660 539 040 e-27, kg,0.000 000 020 e-27      
Atomic Unit Of 1st Hyperpolarizability                     ,3.206 361 329 e-53, C^3 m^3 J^-2,0.000 000 020 e-53      
Atomic Unit Of 2nd Hyperpolarizability                     ,6.235 380 085 e-65, C^4 m^4 J^-3,0.000 000 077 e-65      
Atomic Unit Of Action                                      ,1.054 571 800 e-34, J s,0.000 000 013 e-34      
Atomic Unit Of Charge                                      ,1.602 176 6208 e-19, C,0.000 000 0098 e-19     
Atomic Unit Of Charge Density                              ,1.081 202 3770 e12, C m^-3,0.000 000 0067 e12      
Atomic Unit Of Current                                     ,6.623 618 183 e-3, A,0.000 000 041 e-3       
Atomic Unit Of Electric Dipole Mom.                        ,8.478 353 552 e-30, C m,0.000 000 052 e-30      
Atomic Unit Of Electric Field                              ,5.142 206 707 e11, V m^-1,0.000 000 032 e11       
Atomic Unit Of Electric Field Gradient                     ,9.717 362 356 e21, V m^-2,0.000 000 060 e21       
Atomic Unit Of Electric Polarizability                     ,1.648 777 2731 e-41, C^2 m^2 J^-1,0.000 000 0011 e-41     
Atomic Unit Of Electric Potential                          ,27.211 386 02, V,0.000 000 17            
Atomic Unit Of Electric Quadrupole Mom.                    ,4.486 551 484 e-40, C m^2,0.000 000 028 e-40      
Atomic Unit Of Energy                                      ,4.359 744 650 e-18, J,0.000 000 054 e-18      
Atomic Unit Of Force                                       ,8.238 723 36 e-8, N,0.000 000 10 e-8        
Atomic Unit Of Length                                      ,0.529 177 210 67 e-10, m,0.000 000 000 12 e-10   
Atomic Unit Of Mag. Dipole Mom.                            ,1.854 801 999 e-23, J T^-1,0.000 000 011 e-23      
Atomic Unit Of Mag. Flux Density                           ,2.350 517 550 e5, T,0.000 000 014 e5        
Atomic Unit Of Magnetizability                             ,7.891 036 5886 e-29, J T^-2,0.000 000 0090 e-29     
Atomic Unit Of Mass                                        ,9.109 383 56 e-31, kg,0.000 000 11 e-31       
Atomic Unit Of Mom.Um                                      ,1.992 851 882 e-24, kg m s^-1,0.000 000 024 e-24      
Atomic Unit Of Permittivity                                ,1.112 650 056... e-10, F m^-1,(exact)                 
Atomic Unit Of Time                                        ,2.418 884 326 509 e-17, s,0.000 000 000 014 e-17  
Atomic Unit Of Velocity                                    ,2.187 691 262 77 e6, m s^-1,0.000 000 000 50 e6     
Avogadro Constant                                          ,6.022 140 857 e23, mol^-1,0.000 000 074 e23       
Bohr Magneton                                              ,927.400 9994 e-26, J T^-1,0.000 0057 e-26         
Bohr Magneton In Ev/t                                      ,5.788 381 8012 e-5, eV T^-1,0.000 000 0026 e-5      
Bohr Magneton In Hz/t                                      ,13.996 245 042 e9, Hz T^-1,0.000 000 086 e9        
Bohr Magneton In Inverse Meters Per Tesla                  ,46.686 448 14, m^-1 T^-1,0.000 000 29            
Bohr Magneton In K/t                                       ,0.671 714 05, K T^-1,0.000 000 39            
Bohr Radius                                                ,0.529 177 210 67 e-10, m,0.000 000 000 12 e-10   
Boltzmann Constant                                         ,1.380 648 52 e-23, J K^-1,0.000 000 79 e-23       
Boltzmann Constant In Ev/k                                 ,8.617 3303 e-5, eV K^-1,0.000 0050 e-5          
Boltzmann Constant In Hz/k                                 ,2.083 6612 e10, Hz K^-1,0.000 0012 e10          
Boltzmann Constant In Inverse Meters Per Kelvin            ,69.503 457, m^-1 K^-1,0.000 040               
Characteristic Impedance Of Vacuum                         ,376.730 313 461..., ohm,(exact)                 
Classical Electron Radius                                  ,2.817 940 3227 e-15, m,0.000 000 0019 e-15     
Compton Wavelength                                         ,2.426 310 2367 e-12, m,0.000 000 0011 e-12     
Compton Wavelength Over 2 Pi                               ,386.159 267 64 e-15, m,0.000 000 18 e-15       
Conductance Quantum                                        ,7.748 091 7310 e-5, S,0.000 000 0018 e-5      
Conventional Value Of Josephson Constant                   ,483 597.9 e9, Hz V^-1,(exact)                 
Conventional Value Of Von Klitzing Constant                ,25 812.807, ohm,(exact)                 
Cu X Unit                                                  ,1.002 076 97 e-13, m,0.000 000 28 e-13       
Deuteron-electron Mag. Mom. Ratio                          ,-4.664 345 535 e-4, ,0.000 000 026 e-4       
Deuteron-electron Mass Ratio                               ,3670.482 967 85, ,0.000 000 13            
Deuteron G Factor                                          ,0.857 438 2311, ,0.000 000 0048          
Deuteron Mag. Mom.                                         ,0.433 073 5040 e-26, J T^-1,0.000 000 0036 e-26     
Deuteron Mag. Mom. To Bohr Magneton Ratio                  ,0.466 975 4554 e-3, ,0.000 000 0026 e-3      
Deuteron Mag. Mom. To Nuclear Magneton Ratio               ,0.857 438 2311, ,0.000 000 0048          
Deuteron Mass                                              ,3.343 583 719 e-27, kg,0.000 000 041 e-27      
Deuteron Mass Energy Equivalent                            ,3.005 063 183 e-10, J,0.000 000 037 e-10      
Deuteron Mass Energy Equivalent In Mev                     ,1875.612 928, MeV,0.000 012               
Deuteron Mass In U                                         ,2.013 553 212 745, u,0.000 000 000 040       
Deuteron Molar Mass                                        ,2.013 553 212 745 e-3, kg mol^-1,0.000 000 000 040 e-3   
Deuteron-neutron Mag. Mom. Ratio                           ,-0.448 206 52, ,0.000 000 11            
Deuteron-proton Mag. Mom. Ratio                            ,0.307 012 2077, ,0.000 000 0015          
Deuteron-proton Mass Ratio                                 ,1.999 007 500 87, ,0.000 000 000 19        
Deuteron Rms Charge Radius                                 ,2.1413 e-15, m,0.0025 e-15             
Electric Constant                                          ,8.854 187 817... e-12, F m^-1,(exact)                 
Electron Charge To Mass Quotient                           ,-1.758 820 024 e11, C kg^-1,0.000 000 011 e11       
Electron-deuteron Mag. Mom. Ratio                          ,-2143.923 499, ,0.000 012               
Electron-deuteron Mass Ratio                               ,2.724 437 107 484 e-4, ,0.000 000 000 096 e-4   
Electron G Factor                                          ,-2.002 319 304 361 82, ,0.000 000 000 000 52    
Electron Gyromag. Ratio                                    ,1.760 859 644 e11, s^-1 T^-1,0.000 000 011 e11       
Electron Gyromag. Ratio Over 2 Pi                          ,28 024.951 64, MHz T^-1,0.000 17                
Electron-helion Mass Ratio                                 ,1.819 543 074 854 e-4, ,0.000 000 000 088 e-4   
Electron Mag. Mom.                                         ,-928.476 4620 e-26, J T^-1,0.000 0057 e-26         
Electron Mag. Mom. Anomaly                                 ,1.159 652 180 91 e-3, ,0.000 000 000 26 e-3    
Electron Mag. Mom. To Bohr Magneton Ratio                  ,-1.001 159 652 180 91, ,0.000 000 000 000 26    
Electron Mag. Mom. To Nuclear Magneton Ratio               ,-1838.281 972 34, ,0.000 000 17            
Electron Mass                                              ,9.109 383 56 e-31, kg,0.000 000 11 e-31       
Electron Mass Energy Equivalent                            ,8.187 105 65 e-14, J,0.000 000 10 e-14       
Electron Mass Energy Equivalent In Mev                     ,0.510 998 9461, MeV,0.000 000 0031          
Electron Mass In U                                         ,5.485 799 090 70 e-4, u,0.000 000 000 16 e-4    
Electron Molar Mass                                        ,5.485 799 090 70 e-7, kg mol^-1,0.000 000 000 16 e-7    
Electron-muon Mag. Mom. Ratio                              ,206.766 9880, ,0.000 0046              
Electron-muon Mass Ratio                                   ,4.836 331 70 e-3, ,0.000 000 11 e-3        
Electron-neutron Mag. Mom. Ratio                           ,960.920 50, ,0.000 23                
