Categoría,Fabricante,Material,Enlace
Vidrio,LZOS,BF1,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF1.yml
Vidrio,LZOS,BF11,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF11.yml
Vidrio,LZOS,BF16,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF16.yml
Vidrio,LZOS,BF21,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF21.yml
Vidrio,LZOS,BF24,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF24.yml
Vidrio,LZOS,BF25,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF25.yml
Vidrio,LZOS,BF28,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF28.yml
Vidrio,LZOS,BF8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF8.yml
Vidrio,LZOS,BK4,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BK4.yml
Vidrio,LZOS,BK10,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BK10.yml
Vidrio,LZOS,BK6,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BK6.yml
Vidrio,LZOS,BF11,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BF11.yml
Vidrio,LZOS,LK7,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LK7.yml
Vidrio,LZOS,BK8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/BK8.yml
Vidrio,LZOS,CTK12,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/CTK12.yml
Vidrio,LZOS,CTK19,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/CTK19.yml
Vidrio,LZOS,CTK3,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/CTK3.yml
Vidrio,LZOS,CTK8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/CTK8.yml
Vidrio,LZOS,CTK9,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/CTK9.yml
Vidrio,LZOS,F1,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/F1.yml
Vidrio,LZOS,F13,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/F13.yml
Vidrio,LZOS,F4,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/F4.yml
Vidrio,LZOS,F6,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/F6.yml
Vidrio,LZOS,F8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/F8.yml
Vidrio,LZOS,K8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/K8.yml
Vidrio,LZOS,KF6,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/KF6.yml
Vidrio,LZOS,KF7,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/KF7.yml
